f (GHz),theta (deg.),phi (deg.),gain (dBi),directivity (dBi)
1.9800000000000002,0.0,-180.0,2.055469929810506,3.407573045445745
1.9800000000000002,2.0,-180.0,2.0624180192255346,3.4190916387681893
1.9800000000000002,4.0,-180.0,2.058906413342763,3.4132700729165952
1.9800000000000002,6.000000000000001,-180.0,2.0451883507622672,3.39052816868969
1.9800000000000002,8.0,-180.0,2.021485588200776,3.3512335559903037
1.9800000000000002,10.0,-180.0,1.9879628952105912,3.29565939098433
1.9800000000000002,12.000000000000002,-180.0,1.9447169528329202,3.2239659522072244
1.9800000000000002,14.0,-180.0,1.891786593616671,3.1362176165418707
1.9800000000000002,16.0,-180.0,1.82918807586778,3.032441337126466
1.9800000000000002,18.0,-180.0,1.756973955357354,2.912724241301774
1.9800000000000002,20.0,-180.0,1.6753086657362917,2.777338928373889
1.9800000000000002,22.0,-180.0,1.5845496035756175,2.6268778929856653
1.9800000000000002,24.000000000000004,-180.0,1.4853203274347495,2.462374875066115
1.9800000000000002,26.0,-180.0,1.3785630480209177,2.2853918783996394
1.9800000000000002,28.0,-180.0,1.2655613684447669,2.0980568695876705
1.9800000000000002,29.999999999999996,-180.0,1.1479315127091005,1.903049236573316
1.9800000000000002,32.0,-180.0,1.0275910220144322,1.7035478931483257
1.9800000000000002,34.0,-180.0,0.906727875221421,1.5031800866304335
1.9800000000000002,36.0,-180.0,0.7878104644498788,1.306037935484168
1.9800000000000002,38.0,-180.0,0.6737012364737158,1.1168668248544718
1.9800000000000002,40.0,-180.0,0.567962761712273,0.9415728099734783
1.9800000000000002,42.0,-180.0,0.47543943231323704,0.7881869594861796
1.9800000000000002,44.0,-180.0,0.40295682453685155,0.6680247635132142
1.9800000000000002,46.0,-180.0,0.3589219302202651,0.5950233944559274
1.9800000000000002,48.00000000000001,-180.0,0.3492317023409891,0.5789588639820169
1.9800000000000002,50.0,-180.0,0.3711516290545617,0.6152978784059362
1.9800000000000002,52.0,-180.0,0.41420951534292105,0.6866795564262064
1.9800000000000002,54.0,-180.0,0.4671230989794491,0.7744000814131103
1.9800000000000002,56.0,-180.0,0.5215106955306142,0.8645642357636503
1.9800000000000002,58.00000000000001,-180.0,0.57180605426818,0.9479442484116356
