f (GHz),theta (deg.),phi (deg.),r*Re{E_x} (V),r*Im{E_x} (V),r*Re{E_y} (V),r*Im{E_y} (V),r*Re{E_z} (V),r*Im{E_z} (V)
1.9800000000000002,0.0,-180.0,-3.17084291004607,6.0125699800945265,6.721979338426775,-12.725241771319345,0.0,0.0
1.9800000000000002,2.0,-180.0,-3.148549063798194,6.1398680785373845,6.6879089047090705,-12.753038838505208,-0.10994975609035476,0.2144089178803441
1.9800000000000002,4.0,-180.0,-3.0702975975862654,6.282654503368349,6.554247735835746,-12.7308302599898,-0.21469612271702657,0.4393259999630875
1.9800000000000002,6.000000000000001,-180.0,-2.9353905576102592,6.434928186748938,6.323890772797727,-12.658004195668026,-0.30852197976371354,0.6763382060577926
1.9800000000000002,8.0,-180.0,-2.743040870705698,6.58825062757729,6.000784874450271,-12.532754621621304,-0.385509253591753,0.9259182424282673
1.9800000000000002,10.0,-180.0,-2.4928844349087838,6.732117917571529,5.590098061693263,-12.351856295264968,-0.439562785662594,1.1870540261787463
1.9800000000000002,12.000000000000002,-180.0,-2.185684414944099,6.854473999250126,5.098662175581868,-12.110429204037857,-0.46458156413627116,1.4569634253371726
1.9800000000000002,14.0,-180.0,-1.8240974870129647,6.94235446220832,4.535618414059891,-11.801883301542325,-0.4547985834282071,1.7309233730918436
1.9800000000000002,16.0,-180.0,-1.4133541255743118,6.982645415130188,3.9131395124363646,-11.418234223589069,-0.40527277395160827,2.0022413531784773
1.9800000000000002,18.0,-180.0,-0.9617208282950184,6.962931407650732,3.247055356078995,-10.950915731742063,-0.3124820393904756,2.2623935578644367
1.9800000000000002,20.0,-180.0,-0.48065434537185114,6.872392290439587,2.5571840928910845,-10.392098656316325,-0.17494387468606093,2.5013462319205386
1.9800000000000002,22.0,-180.0,0.015387656058532567,6.702695719438628,1.8671821916080453,-9.736387304243857,0.006217016601778577,2.7080648544462504
1.9800000000000002,24.000000000000004,-180.0,0.5094643994971298,6.448823686959216,1.2037832839296927,-8.982638294667174,0.22682816479961,2.871201291931397
1.9800000000000002,26.0,-180.0,0.9829480454566627,6.1097694127517075,0.5953957350210335,-8.135568287195595,0.4794157946363321,2.9799336512219106
1.9800000000000002,28.0,-180.0,1.4165319093974946,5.68904380144941,0.07015790841008188,-7.206811582965154,0.7531833764760921,3.024918246365922
1.9800000000000002,29.999999999999996,-180.0,1.7913835846640924,5.194936065568815,-0.346319733181174,-6.215165546319497,1.0342557948276891,2.999297735879046
1.9800000000000002,32.0,-180.0,2.09037936164962,4.6404799727334245,-0.6332005916926305,-5.18591034930561,1.3062139969586317,2.899693713110148
1.9800000000000002,34.0,-180.0,2.299355515061409,4.04308707540201,-0.7763024172259776,-4.149278310709275,1.5509348781575256,2.7270966666941963
1.9800000000000002,36.0,-180.0,2.4083027789224762,3.4238244355424587,-0.7693172996739512,-3.138330274741865,1.7497343892006716,2.4875540608455475
1.9800000000000002,38.0,-180.0,2.4124157275807754,2.806338874074623,-0.6142173113866786,-2.1866204230059463,1.884785733117604,2.192552225421547
1.9800000000000002,40.0,-180.0,2.3128964278402178,2.21546116589106,-0.3208835894967726,-1.326054833475454,1.9407505395519742,1.8589926471867746
1.9800000000000002,42.0,-180.0,2.117408656266411,1.6755567600713426,0.0938159052266197,-0.5852559691611512,1.906523317533531,1.5086780832188245
1.9800000000000002,44.0,-180.0,1.8400874881783587,1.2087189202523148,0.607154106651243,0.011447039320471808,1.7769518319967847,1.1672462931845888
1.9800000000000002,46.0,-180.0,1.5010266320143808,0.8329238963540291,1.1915284774916515,0.44452078710166804,1.5543585792578523,0.8625179437551529
1.9800000000000002,48.00000000000001,-180.0,1.125189635782605,0.5602899616299712,1.8150816882497205,0.6995485774315884,1.2496496910562633,0.6222650433194141
1.9800000000000002,50.0,-180.0,0.7407238125685751,0.3956095869623242,2.4419785792371065,0.7677936222881119,0.8827602647486797,0.4714691465270609
1.9800000000000002,52.0,-180.0,0.37670811083779704,0.33535787933176464,3.0326342943304607,0.6473614997660864,0.48216439424610197,0.4292385114407081
1.9800000000000002,54.0,-180.0,0.060451365539330754,0.3674080333613333,3.5444054082640783,0.3450800328069026,0.0832041665961298,0.5056937745544079
1.9800000000000002,56.0,-180.0,-0.18542132456805388,0.47167766702301134,3.933319303944314,-0.12114711526255725,-0.2748984185345296,0.6992908988474684
1.9800000000000002,58.00000000000001,-180.0,-0.34571850820875305,0.6218542435854657,4.157265409516358,-0.7201410354681848,-0.5532652660150286,0.9951748180405249
1.9800000000000002,59.99999999999999,-180.0,-0.41478510137435376,0.7881825879255108,4.180703190389308,-1.4063076218623685,-0.718428869802987,1.3651722879281079
1.9800000000000002,62.0,-180.0,-0.3974581562332202,0.9410565318806963,3.9804261376277927,-2.1205108020889853,-0.7475100732955732,1.7698699248950567
1.9800000000000002,64.0,-180.0,-0.3085015366196272,1.0548978330839098,3.551393224984138,-2.7936577653501766,-0.6325218856643369,2.1628610796456154
1.9800000000000002,66.0,-180.0,-0.17042078823200693,1.111619182259641,2.9112695120219416,-3.3531441828241286,-0.3827713574068297,2.496737561932487
1.9800000000000002,68.0,-180.0,-0.009931284690911372,1.102944486045715,2.102263139988988,-3.7315663444236398,-0.02458079217600901,2.729883397459738
1.9800000000000002,70.0,-180.0,0.1462869631530966,1.031046038124309,1.189195592717485,-3.876367095691039,0.4019201280237231,2.832775708164688
1.9800000000000002,72.0,-180.0,0.27569200328504284,0.9073275705660919,0.2534692441814325,-3.758574448712627,0.8484927398412421,2.7924671267564762
1.9800000000000002,74.0,-180.0,0.36299225714992167,0.7496309961671636,-0.6164571104062766,-3.378714111423296,1.2659044405870514,2.614273963584213
1.9800000000000002,76.0,-180.0,0.4016725859597785,0.5785272399566658,-1.336567344179845,-2.7684177987996685,1.6110207492915158,2.3203460235493147
1.9800000000000002,78.0,-180.0,0.39375563693000887,0.4135386308098655,-1.8386617910757066,-1.9871332787107339,1.8524746252777822,1.945546293940584
1.9800000000000002,80.0,-180.0,0.3480602305904677,0.270075074264234,-2.079454008870436,-1.1144349857800835,1.9739476578796633,1.5316718586066504
1.9800000000000002,82.0,-180.0,0.27753514754866215,0.15758935920338119,-2.0457583827123913,-0.23940994971432902,1.9747651857651842,1.121306555045667
1.9800000000000002,84.0,-180.0,0.1963518318981152,0.07908626983745333,-1.7550710581493454,0.5508476560603214,1.8681628899329146,0.752455594558523
1.9800000000000002,86.0,-180.0,0.11733755349742192,0.03179414188459982,-1.2518917310079494,1.1816155886947912,1.6780051919457113,0.45467741201021084
1.9800000000000002,88.0,-180.0,0.05010519984433003,0.008622217182553817,-0.6009528819917382,1.5983156791283775,1.4348251935333314,0.24690799509992303
1.9800000000000002,90.0,-180.0,5.692358319661005e-17,-2.0851194086433271e-16,0.12111644747531225,1.7710181873993658,1.1718655569759915,0.13677796054399563
1.9800000000000002,92.0,-180.0,-0.03217926244064271,-0.004227694136045402,0.834300036079348,1.6957991167225823,0.9214935097076544,0.12106532008248772
1.9800000000000002,94.0,-180.0,-0.04979622243803775,-0.01307507514871908,1.462952655311029,1.3935533289945596,0.7121191579313638,0.186982285983257
1.9800000000000002,96.00000000000001,-180.0,-0.059453663195643956,-0.033017013014812524,1.9424107091628529,0.9069552647344913,0.565663819781953,0.3141358950127357
1.9800000000000002,98.0,-180.0,-0.06966400991582336,-0.06705021569529535,2.2243983683123902,0.29605346448489517,0.49568518689492136,0.4770870746376335
1.9800000000000002,100.0,-180.0,-0.0892853403827813,-0.11432793730314239,2.281212818335129,-0.367293150868224,0.5063623276712452,0.6483859523017059
1.9800000000000002,102.0,-180.0,-0.1259520338808049,-0.17042986526774917,2.108481031756926,-1.0060582275343177,0.5925577309456843,0.8018094756930093
1.9800000000000002,104.0,-180.0,-0.18476412291576666,-0.22822765353173177,1.7260493561673034,-1.545561976393779,0.7410484213920298,0.9153711212906959
1.9800000000000002,106.0,-180.0,-0.2674719426514184,-0.2791807791701839,1.1765030914440449,-1.9213122856000795,0.9327855161247445,0.9736190817208593
1.9800000000000002,108.0,-180.0,-0.372292088873159,-0.3147957310521762,0.5210297070343949,-2.0862617517506314,1.145797232945508,0.9688416390323314
1.9800000000000002,110.0,-180.0,-0.49434352395851544,-0.3279484541095301,-0.16719663031146859,-2.016374408406969,1.358197669529647,0.9010309724109834
1.9800000000000002,112.0,-180.0,-0.626548524706219,-0.3138217712374577,-0.8113774873492382,-1.713504613129523,1.5507620165277363,0.7767361403056483
1.9800000000000002,114.00000000000001,-180.0,-0.7607500800662492,-0.27032789137806007,-1.3400268145963699,-1.205004381869564,1.708672655579371,0.6071663850471081
1.9800000000000002,116.00000000000001,-180.0,-0.8887815229820748,-0.19802919955439435,-1.6951382254430647,-0.5400732117638527,1.8222721708948464,0.4060200285912473
1.9800000000000002,118.00000000000001,-180.0,-1.0032828249263874,-0.09969197132142447,-1.8383891571028146,0.2165373955211863,1.8869005610664864,0.18749332884675068
1.9800000000000002,119.99999999999999,-180.0,-1.0981647424424843,0.020326512978358524,-1.7545955222079477,0.9924213170052812,1.9020771289911718,-0.03520655321922572
1.9800000000000002,122.0,-180.0,-1.1687390737058503,0.15665945699128075,-1.4521587730727679,1.7158016677100028,1.8703734950909265,-0.2507075383239682
1.9800000000000002,124.0,-180.0,-1.2116242498390335,0.3033440481080695,-0.9607483295783221,2.3230713416098636,1.7963068213148807,-0.4497260457556749
1.9800000000000002,126.0,-180.0,-1.22457571140339,0.45402436093402454,-0.32682891272199055,2.7647301796474673,1.6854838694237508,-0.6249109218430716
1.9800000000000002,128.0,-180.0,-1.2063735901924844,0.6019933910018789,0.3921673698551618,3.009210164189792,1.5440877820655945,-0.7705164034483909
1.9800000000000002,130.0,-180.0,-1.1568391254530503,0.7401837851953855,1.134193816977593,3.044423797850291,1.3786671838122178,-0.8821166851865831
1.9800000000000002,132.0,-180.0,-1.07697315944193,0.8612272553548277,1.8387174471696905,2.877154068924585,1.196099869011344,-0.95648976790907
1.9800000000000002,134.0,-180.0,-0.9691455266802501,0.9576662846890454,2.4520153485139184,2.5306119597782715,1.0035795713519253,-0.9916924682906935
1.9800000000000002,136.0,-180.0,-0.8372348333305686,1.0223383213926527,2.9311998024956862,2.0406270259470616,0.8085082804247999,-0.9872606410239917
1.9800000000000002,138.0,-180.0,-0.6866288725939332,1.0488892406225174,3.2467121112584407,1.4510201279156079,0.6182434138152431,-0.9444241142770058
1.9800000000000002,140.0,-180.0,-0.5240352459759795,1.0323313837738235,3.383210135428765,0.8087390679540205,0.4397177816223388,-0.8662288833773472
1.9800000000000002,142.0,-180.0,-0.35709996884707257,0.969550414552946,3.338958467486469,0.1593129035792339,0.27899707288621445,-0.7574958030638481
1.9800000000000002,144.0,-180.0,-0.1938717430232862,0.8596792018442682,3.1239964018969584,-0.4569067611340837,0.14085606628494368,-0.6245935005815652
1.9800000000000002,146.0,-180.0,-0.04217349437217344,0.7042834346068099,2.7574826670047035,-1.0073956621288103,0.028446381139036803,-0.47504517491333
1.9800000000000002,148.0,-180.0,0.0910474560106928,0.5073316500067397,2.2646730396482715,-1.4688624111734798,-0.05689276483039468,-0.31701599934280045
1.9800000000000002,150.0,-180.0,0.20031769037117644,0.2749473270691265,1.6739649650748587,-1.8274672294371683,-0.11565347245924296,-0.15874091329632822
1.9800000000000002,152.0,-180.0,0.28211458720230487,0.01496395618399167,1.0143489087547273,-2.078073244262025,-0.15000298682475,-0.00795647663799726
1.9800000000000002,154.0,-180.0,0.3351606848416954,-0.26367215904915037,0.31346536434775535,-2.222849564748777,-0.16346878840334692,0.1286015046657917
