f (GHz),S11 (dB),S11 (deg.)
1369700000.0,-8.009132764963043,-84.78389298868017
1371400000.0,-8.044776626522154,-86.12773332987224
1373100000.0,-8.082569834066659,-87.50632558405097
1374800000.0,-8.122605528975054,-88.9207297838474
1376500000.0,-8.164978660755954,-90.37203108114302
1378200000.0,-8.209785624237142,-91.86133913821337
1379900000.0,-8.257123819479206,-93.38978735091469
1381600000.0,-8.307091124713175,-94.95853188525278
1383300000.0,-8.35978527190917,-96.56875050623876
1385000000.0,-8.415303113945669,-98.22164117491646
1386700000.0,-8.473739771801355,-99.91842038568952
1388400000.0,-8.535187649775725,-101.66032121139558
1390100000.0,-8.599735306512665,-103.4485910177651
1391800000.0,-8.667466169616501,-105.28448880172034
1393500000.0,-8.738457081987688,-107.16928209916672
1395200000.0,-8.812776668755706,-109.10424339722846
1396900000.0,-8.890483514955545,-111.09064597303632
1398600000.0,-8.971624146004046,-113.1297590659553
1400300000.0,-9.056230805725152,-115.22284227240021
1402000000.0,-9.144319030308077,-117.37113903209455
1403700000.0,-9.235885021337602,-119.57586905195359
1405400000.0,-9.330902827102815,-121.83821948914797
1407100000.0,-9.429321348971888,-124.15933468915826
1408800000.0,-9.531061198916197,-126.54030424908323
1410500000.0,-9.636011445462426,-128.98214915308495
1412200000.0,-9.744026298592336,-131.4858057083871
1413900000.0,-9.85492179947065,-134.05210700035852
1415600000.0,-9.968472598321306,-136.6817615885856
1417300000.0,-10.084408923077419,-139.37532918819355
1419000000.0,-10.202413862145052,-142.13319312869027
1420700000.0,-10.322121105966193,-144.95552946366377
1422400000.0,-10.443113312855301,-147.8422727263193
1424100000.0,-10.56492128314201,-150.79307849505113
1425800000.0,-10.687024139764462,-153.80728315513355
1427500000.0,-10.80885072036337,-156.88386151896373
1429200000.0,-10.929782382398436,-160.02138329462295
1430900000.0,-11.04915740535098,-163.21796976007485
1432600000.0,-11.166277139270054,-166.47125238813908
1434300000.0,-11.280413993938517,-169.7783355450279
1436000000.0,-11.390821286215836,-173.1357657117079
1437700000.0,-11.496744865116607,-176.5395099028395
1439400000.0,-11.597436318138627,-179.98494602812468
1441100000.0,-11.692167434805501,176.5331321966607
1442800000.0,-11.78024547433526,173.02049356776922
1444500000.0,-11.86102866676353,169.48342937345728
1446200000.0,-11.933941285476873,165.92869437842793
1447900000.0,-11.998487578509929,162.36342927176088
1449600000.0,-12.05426384808348,158.7950662728879
1451300000.0,-12.100968029553803,155.23122082617024
1453000000.0,-12.138406241960988,151.67957341571415
1454700000.0,-12.166495954447878,148.14774636632242
1456400000.0,-12.18526562025636,144.64318095764912
1458100000.0,-12.194850851666283,141.173020205177
1459800000.0,-12.195487421797708,137.74400224838536
1461500000.0,-12.18750156081539,134.36236848560486
1463200000.0,-12.171298147776126,131.0337895063934
1464900000.0,-12.147347475329004,127.76331062524378
1466600000.0,-12.116171280905734,124.5553175521107
1468300000.0,-12.078328700461402,121.41352156936807
1470000000.0,-12.034402720309602,118.34096261602416
1471700000.0,-11.984987593286453,115.34002796547364
1473400000.0,-11.930677562122465,112.412483741645
1475100000.0,-11.872057108796001,109.55951633614309
1476800000.0,-11.809692834275598,106.78178082819561
1478500000.0,-11.744126975509898,104.07945371878836
1480200000.0,-11.675872489502604,101.45228761527194
1481900000.0,-11.60540957864795,98.89966589128774
